时间标识,2024/7/8 15:48:14,时间标识,2024/7/8 15:48:14
间隔,0.0002,间隔,0.0002
通道名称,"输入0",通道名称,"输入1"
单位,"V",单位,"V"
0.0782,2.1123414151370525,0.0782,2.153644111007452
0.0784,2.1123414151370525,0.0784,2.1497719832696021
0.0786,2.1084692873992026,0.0786,2.1497719832696021
0.0788,2.1058878689073026,0.0788,2.151062692515552
0.079,2.1071785781532526,0.079,2.1446091462858021
0.0792,2.1058878689073026,0.0792,2.1394463093020022
0.0794,2.1033064504154027,0.0794,2.1484812740236521
0.0796,2.1045971596613526,0.0796,2.1471905647777021
0.0798,2.0994343226775527,0.0798,2.1458998555317521
0.08,2.1007250319235027,0.08,2.1471905647777021
0.0802,2.1033064504154027,0.0802,2.1446091462858021
0.0804,2.0981436134316027,0.0804,2.1368648908101022
0.0806,2.1007250319235027,0.0806,2.1433184370398521
0.0808,2.1020157411694527,0.0808,2.1394463093020022
0.081,2.0981436134316027,0.081,2.1368648908101022
0.0812,2.0968529041856527,0.0812,2.1355741815641522
0.0814,2.0968529041856527,0.0814,2.1446091462858021
0.0816,2.0994343226775527,0.0816,2.1394463093020022
0.0818,2.0955621949397027,0.0818,2.1329927630722523
0.082,2.0903993579559028,0.082,2.1304113445803523
0.0822,2.0891086487099528,0.0822,2.1329927630722523
0.0824,2.0878179394640028,0.0824,2.1304113445803523
0.0826,2.0903993579559028,0.0826,2.1291206353344023
0.0828,2.0878179394640028,0.0828,2.1265392168425024
0.083,2.0826551024802029,0.083,2.1304113445803523
0.0832,2.0839458117261529,0.0832,2.1239577983506024
0.0834,2.0813643932342529,0.0834,2.1239577983506024
0.0836,2.078782974742353,0.0836,2.1149228336289525
0.0838,2.0800736839883029,0.0838,2.1200856706127524
0.084,2.0813643932342529,0.084,2.1200856706127524
0.0842,2.072329428512603,0.0842,2.1175042521208525
0.0844,2.073620137758553,0.0844,2.1149228336289525
0.0846,2.078782974742353,0.0846,2.1149228336289525
0.0848,2.078782974742353,0.0848,2.1175042521208525
0.085,2.078782974742353,0.085,2.1200856706127524
0.0852,2.0710387192666531,0.0852,2.1200856706127524
0.0854,2.0697480100207031,0.0854,2.1187949613668025
0.0856,2.0697480100207031,0.0856,2.1162135428749025
0.0858,2.0697480100207031,0.0858,2.1175042521208525
0.086,2.0710387192666531,0.086,2.1084692873992026
0.0862,2.0671665915288031,0.0862,2.1110507058911026
0.0864,2.0671665915288031,0.0864,2.1136321243830025
0.0866,2.0684573007747531,0.0866,2.1084692873992026
0.0868,2.072329428512603,0.0868,2.1149228336289525
0.087,2.0697480100207031,0.087,2.1110507058911026
0.0872,2.0671665915288031,0.0872,2.1136321243830025
